,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,company,model
22,Audi A6 2.0 TDI  Design Edition,2013,1735000,50000,Diesel,Dealer,Automatic,First Owner,Audi,Audi A6 2.0
23,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000,33800,Diesel,Dealer,Automatic,Second Owner,Mercedes-Benz,Mercedes-Benz New C-Class
24,Skoda Superb Ambition 2.0 TDI CR AT,2011,450000,130400,Diesel,Dealer,Automatic,Second Owner,Skoda,Skoda Superb Ambition
25,Toyota Corolla Altis G AT,2016,900000,50000,Petrol,Individual,Automatic,First Owner,Toyota,Toyota Corolla Altis
26,Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000,80000,Diesel,Individual,Manual,First Owner,Toyota,Toyota Innova 2.5
27,Jeep Compass 1.4 Sport Plus BSIV,2019,1400000,10000,Petrol,Individual,Manual,First Owner,Jeep,Jeep Compass 1.4
28,Mercedes-Benz E-Class E 200 CGI Elegance,2010,850000,119000,Petrol,Dealer,Automatic,First Owner,Mercedes-Benz,Mercedes-Benz E-Class E
29,Hyundai i10 Magna 1.1L,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai,Hyundai i10 Magna
30,BMW 3 Series 320d Sport Line,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner,BMW,BMW 3 Series
31,Audi Q7 35 TDI Quattro Premium,2009,1250000,78000,Diesel,Dealer,Automatic,Third Owner,Audi,Audi Q7 35
32,Hyundai Elantra CRDi S,2012,625000,40000,Diesel,Individual,Manual,First Owner,Hyundai,Hyundai Elantra CRDi
33,Mahindra Scorpio 1.99 S10,2014,1050000,50000,Diesel,Individual,Manual,First Owner,Mahindra,Mahindra Scorpio 1.99
34,Honda City i DTEC V,2014,560000,74000,Diesel,Individual,Manual,Second Owner,Honda,Honda City i
35,Maruti Wagon R VXI BS IV with ABS,2014,290000,64000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
36,Maruti Wagon R VXI BS IV,2012,275000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
37,Mahindra Scorpio LX,2009,411000,120000,Diesel,Individual,Manual,Second Owner,Mahindra,Mahindra Scorpio LX
38,Hyundai Santro Xing GLS,2009,150000,79000,Petrol,Individual,Manual,Third Owner,Hyundai,Hyundai Santro Xing
39,Hyundai Grand i10 1.2 Kappa Asta,2019,500000,15000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Grand i10
40,Maruti Alto LXi,2006,100000,80000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto LXi
41,Maruti Swift Dzire VDI Optional,2017,725000,18500,Diesel,Dealer,Manual,First Owner,Maruti,Maruti Swift Dzire
42,Maruti Eeco 5 Seater AC BSIV,2018,401000,10200,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Eeco 5
43,Hyundai i20 Sportz 1.4 CRDi,2018,750000,29000,Diesel,Dealer,Manual,First Owner,Hyundai,Hyundai i20 Sportz
44,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,28000,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Omni Maruti
45,Maruti Swift ZDi BSIV,2016,665000,46000,Diesel,Dealer,Manual,First Owner,Maruti,Maruti Swift ZDi
46,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,70000,Diesel,Dealer,Manual,First Owner,Hyundai,Hyundai i20 2015-2017
47,Maruti Alto LXi,2012,160000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto LXi
48,Mahindra Jeep CL 500 MDI,1996,250000,35000,Diesel,Individual,Manual,Second Owner,Mahindra,Mahindra Jeep CL
49,Honda City i DTEC VX,2014,675000,90000,Diesel,Dealer,Manual,First Owner,Honda,Honda City i
50,Maruti Wagon R VXI BS IV,2013,300000,80000,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Wagon R
51,Tata Indica DLS,2005,70000,80000,Diesel,Individual,Manual,First Owner,Tata,Tata Indica DLS
52,Hyundai EON Magna Plus,2014,240000,73300,Petrol,Dealer,Manual,Second Owner,Hyundai,Hyundai EON Magna
53,Toyota Etios GD,2014,525000,92000,Diesel,Dealer,Manual,First Owner,Toyota,Toyota Etios GD
54,Maruti Alto LXi,2009,151000,66764,Petrol,Dealer,Manual,Second Owner,Maruti,Maruti Alto LXi
55,Maruti Alto LXi,2009,140000,100000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto LXi
58,Mahindra Scorpio 1.99 S6 Plus,2017,570000,60000,Diesel,Individual,Manual,First Owner,Mahindra,Mahindra Scorpio 1.99
59,Hyundai EON Magna Plus,2018,300000,31000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai EON Magna
60,Tata Indigo Classic Dicor,2007,100000,39000,Diesel,Individual,Manual,First Owner,Tata,Tata Indigo Classic
61,Toyota Innova 2.5 V Diesel 8-seater,2009,500000,120000,Diesel,Individual,Manual,Third Owner,Toyota,Toyota Innova 2.5
62,Tata Indica Vista Quadrajet LS,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner,Tata,Tata Indica Vista
63,Maruti Swift 1.3 VXi,2006,130000,110000,Petrol,Individual,Manual,Third Owner,Maruti,Maruti Swift 1.3
64,Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000,35000,Diesel,Individual,Manual,First Owner,Ford,Ford EcoSport 1.5
65,Maruti Ciaz 1.3 Delta,2018,750000,60000,Diesel,Individual,Manual,First Owner,Maruti,Maruti Ciaz 1.3
66,Honda Civic 1.8 V AT,2007,200000,54000,Petrol,Individual,Automatic,Second Owner,Honda,Honda Civic 1.8
67,Hyundai i10 Sportz 1.2,2010,248000,63000,Petrol,Individual,Manual,Second Owner,Hyundai,Hyundai i10 Sportz
68,Skoda Rapid 1.5 TDI Elegance,2014,450000,120000,Diesel,Individual,Manual,Second Owner,Skoda,Skoda Rapid 1.5
69,Hyundai Getz GLS,2005,80000,120000,Petrol,Individual,Manual,Third Owner,Hyundai,Hyundai Getz GLS
70,Nissan Terrano XL,2014,650000,76000,Petrol,Individual,Manual,Second Owner,Nissan,Nissan Terrano XL
71,Hyundai Grand i10 CRDi Sportz,2015,450000,80000,Diesel,Individual,Manual,First Owner,Hyundai,Hyundai Grand i10
72,Hyundai Elite i20 Diesel Era,2019,650000,25000,Diesel,Individual,Manual,First Owner,Hyundai,Hyundai Elite i20
73,Honda Amaze S i-VTEC,2016,495000,11958,Petrol,Dealer,Manual,First Owner,Honda,Honda Amaze S
74,Honda Brio S MT,2015,371000,20000,Petrol,Dealer,Manual,First Owner,Honda,Honda Brio S
75,Hyundai Creta 1.6 SX Option,2017,1025000,9000,Petrol,Dealer,Manual,First Owner,Hyundai,Hyundai Creta 1.6
77,Mahindra XUV500 W8 2WD,2015,750000,70000,Diesel,Individual,Manual,First Owner,Mahindra,Mahindra XUV500 W8
78,Renault Duster 85PS Diesel RxL Optional,2013,600000,120000,Diesel,Individual,Manual,First Owner,Renault,Renault Duster 85PS
79,Hyundai Santro Xing XO,2007,80000,58000,Petrol,Dealer,Manual,Second Owner,Hyundai,Hyundai Santro Xing
80,Mahindra Bolero 2011-2019 SLE,2013,325000,62200,Diesel,Dealer,Manual,First Owner,Mahindra,Mahindra Bolero 2011-2019
81,Audi A6 2.0 TDI Premium Plus,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner,Audi,Audi A6 2.0
82,Fiat Avventura MULTIJET Emotion,2015,350000,53000,Diesel,Individual,Manual,Second Owner,Fiat,Fiat Avventura MULTIJET
84,Datsun RediGO 1.0 S,2017,210000,15000,Petrol,Dealer,Manual,Second Owner,Datsun,Datsun RediGO 1.0
85,Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,Petrol,Individual,Manual,First Owner,Volkswagen,Volkswagen Jetta 1.4
86,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner,Audi,Audi A4 2.0
87,Honda Civic 1.8 V AT,2009,210000,63500,Petrol,Dealer,Automatic,First Owner,Honda,Honda Civic 1.8
90,Volvo V40 D3 R Design,2018,1975000,21000,Diesel,Dealer,Automatic,First Owner,Volvo,Volvo V40 D3
91,Maruti SX4 Zxi BSIII,2008,175000,29173,Petrol,Dealer,Manual,First Owner,Maruti,Maruti SX4 Zxi
92,BMW 7 Series 730Ld,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner,BMW,BMW 7 Series
93,Mahindra Bolero Power Plus SLX,2017,628000,120000,Diesel,Individual,Manual,First Owner,Mahindra,Mahindra Bolero Power
94,Hyundai Sonata CRDi M/T,2010,600000,100000,Diesel,Individual,Manual,First Owner,Hyundai,Hyundai Sonata CRDi
95,Nissan Micra Active XV Petrol,2017,399000,30000,Petrol,Individual,Manual,First Owner,Nissan,Nissan Micra Active
96,Mahindra Xylo D4,2018,750000,87000,Diesel,Individual,Manual,First Owner,Mahindra,Mahindra Xylo D4
97,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000,15000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Elite i20
98,Renault KWID RXT,2017,315000,16000,Petrol,Individual,Manual,First Owner,Renault,Renault KWID RXT
99,Mahindra Xylo E4 BS III,2012,600000,60000,Diesel,Individual,Manual,First Owner,Mahindra,Mahindra Xylo E4
100,Maruti Wagon R LXI Minor,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Maruti Wagon R
101,Maruti SX4 ZXI MT BSIV,2011,250000,110000,Petrol,Individual,Manual,Third Owner,Maruti,Maruti SX4 ZXI
102,Renault KWID RXT,2017,350000,25000,Petrol,Individual,Manual,First Owner,Renault,Renault KWID RXT
103,Hyundai Creta 1.4 CRDi S,2016,780000,60000,Diesel,Individual,Manual,First Owner,Hyundai,Hyundai Creta 1.4
104,Maruti Swift Dzire VDI,2014,434000,79350,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Swift Dzire
105,Hyundai Verna 1.6 VTVT AT S Option,2016,690000,80000,Petrol,Individual,Automatic,First Owner,Hyundai,Hyundai Verna 1.6
106,Mahindra Scorpio LX BSIV,2014,555000,90000,Diesel,Individual,Manual,Second Owner,Mahindra,Mahindra Scorpio LX
107,Maruti SX4 Vxi BSIII,2007,120000,90000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti SX4 Vxi
108,Maruti Ertiga VDI,2014,500000,120000,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Ertiga VDI
109,Chevrolet Beat Diesel,2013,165000,60000,Diesel,Individual,Manual,Second Owner,Chevrolet,Chevrolet Beat Diesel
110,Maruti Zen LX,2004,95000,50000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Zen LX
111,Maruti Baleno Delta 1.2,2018,550000,20000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Baleno Delta
112,Maruti Swift Vdi BSIII,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,Maruti,Maruti Swift Vdi
113,Tata Nano Lx BSIV,2012,100000,50000,Petrol,Individual,Manual,Second Owner,Tata,Tata Nano Lx
114,Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,500000,100000,Diesel,Individual,Manual,First Owner,Toyota,Toyota Innova 2.5
115,Maruti Ertiga SHVS VDI,2016,800000,70000,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Ertiga SHVS
116,Hyundai Creta 1.6 CRDi SX,2016,840000,70000,Diesel,Individual,Manual,Second Owner,Hyundai,Hyundai Creta 1.6
117,Honda Amaze S i-Vtech,2016,490000,50000,Petrol,Individual,Manual,First Owner,Honda,Honda Amaze S
118,Tata Indica Vista Aqua 1.4 TDI,2010,125000,81000,Diesel,Individual,Manual,Second Owner,Tata,Tata Indica Vista
119,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,400000,120000,Diesel,Individual,Manual,Third Owner,Chevrolet,Chevrolet Tavera Neo
120,Chevrolet Cruze LTZ,2015,1000000,3600,Diesel,Dealer,Manual,First Owner,Chevrolet,Chevrolet Cruze LTZ
121,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000,14272,Petrol,Dealer,Manual,First Owner,Ford,Ford Figo Aspire
122,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000,49213,Diesel,Dealer,Manual,First Owner,Ford,Ford EcoSport 1.5
123,Hyundai i10 Sportz 1.1L,2015,229999,40000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai i10 Sportz
124,Maruti 800 Std,1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Maruti 800 Std
125,Chevrolet Spark 1.0 LS,2012,130000,80000,Petrol,Individual,Manual,First Owner,Chevrolet,Chevrolet Spark 1.0
126,Hyundai EON Era Plus,2015,200000,70000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai EON Era
127,Tata Indica Vista Aqua TDI BSIII,2011,120000,70000,Diesel,Individual,Manual,First Owner,Tata,Tata Indica Vista
128,Hyundai Santro LP zipPlus,2003,75000,57000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Santro LP
129,Tata Bolt Quadrajet XE,2016,250000,120000,Diesel,Individual,Manual,First Owner,Tata,Tata Bolt Quadrajet
130,Maruti 800 AC BSIII,2005,100000,30000,Petrol,Individual,Manual,First Owner,Maruti,Maruti 800 AC
131,Hyundai EON Era Plus,2013,280000,3240,Petrol,Individual,Manual,Second Owner,Hyundai,Hyundai EON Era
132,Hyundai i20 Magna 1.2,2015,540000,5000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai i20 Magna
133,Hyundai i20 1.2 Asta,2018,700000,10000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai i20 1.2
134,Maruti Ciaz VDi Plus,2015,525000,100000,Diesel,Individual,Manual,First Owner,Maruti,Maruti Ciaz VDi
135,Hyundai i20 Asta 1.4 CRDi,2016,430000,80000,Diesel,Individual,Manual,First Owner,Hyundai,Hyundai i20 Asta
136,Hyundai Santro LE,2002,65000,70000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Santro LE
137,Maruti Vitara Brezza VDi,2018,800000,35000,Diesel,Individual,Manual,First Owner,Maruti,Maruti Vitara Brezza
138,Hyundai Santro Xing XL eRLX Euro III,2007,75000,114000,Petrol,Individual,Manual,Second Owner,Hyundai,Hyundai Santro Xing
139,Hyundai Getz 1.3 GLS,2008,210000,53772,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Getz 1.3
140,Mahindra Quanto C8,2012,195000,140000,Diesel,Individual,Manual,Second Owner,Mahindra,Mahindra Quanto C8
141,Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,400000,120000,Diesel,Individual,Manual,First Owner,Chevrolet,Chevrolet Tavera Neo
142,Hyundai EON Magna Plus,2012,170000,60000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai EON Magna
143,Renault KWID RXT,2016,225000,25000,Petrol,Individual,Manual,First Owner,Renault,Renault KWID RXT
144,Maruti Wagon R DUO LPG,2014,210000,90000,LPG,Individual,Manual,First Owner,Maruti,Maruti Wagon R
145,Maruti Wagon R LXI,2020,240000,120000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Wagon R
147,Chevrolet Spark 1.0 LS,2011,99000,100000,Petrol,Individual,Manual,Third Owner,Chevrolet,Chevrolet Spark 1.0
148,Honda City i VTEC SV,2014,620000,36000,Petrol,Individual,Manual,First Owner,Honda,Honda City i
149,Honda Amaze VX i-DTEC,2013,500000,30000,Diesel,Individual,Manual,First Owner,Honda,Honda Amaze VX
150,Jaguar XJ 5.0 L V8 Supercharged,2010,2550000,40000,Petrol,Individual,Automatic,Second Owner,Jaguar,Jaguar XJ 5.0
151,Honda Brio E MT,2013,260000,70000,Petrol,Individual,Manual,Second Owner,Honda,Honda Brio E
152,Maruti Swift VVT ZXI,2017,550000,60000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Swift VVT
153,Tata Indigo CR4,2011,150000,155500,Diesel,Individual,Manual,First Owner,Tata,Tata Indigo CR4
154,Hyundai i10 Asta AT,2011,350000,50000,Petrol,Individual,Automatic,Second Owner,Hyundai,Hyundai i10 Asta
155,Chevrolet Beat LT,2016,320000,40000,Petrol,Individual,Manual,First Owner,Chevrolet,Chevrolet Beat LT
156,Maruti Swift VDI BSIV,2015,400000,100000,Diesel,Individual,Manual,Third Owner,Maruti,Maruti Swift VDI
157,Maruti Alto LXi,2012,175000,80000,Petrol,Individual,Manual,Third Owner,Maruti,Maruti Alto LXi
158,Chevrolet Beat LT,2011,120000,90000,Petrol,Individual,Manual,Second Owner,Chevrolet,Chevrolet Beat LT
159,Renault Duster 110PS Diesel RxZ,2013,320000,90000,Diesel,Individual,Manual,Second Owner,Renault,Renault Duster 110PS
160,Hyundai Santro Xing XG,2006,70000,110000,Petrol,Individual,Manual,Third Owner,Hyundai,Hyundai Santro Xing
161,Maruti Swift Dzire ZXI Plus,2019,810000,15000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Swift Dzire
162,Maruti 800 AC,2007,95000,100000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti 800 AC
163,Maruti Alto K10 LXI CNG,2020,282000,40000,CNG,Individual,Manual,First Owner,Maruti,Maruti Alto K10
164,Maruti 800 Std BSII,2004,80000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti 800 Std
165,Tata Nano LX SE,2013,72000,25000,Petrol,Individual,Manual,First Owner,Tata,Tata Nano LX
166,Hyundai i20 Magna 1.2,2016,600000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai i20 Magna
167,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000,23000,Petrol,Individual,Manual,First Owner,Skoda,Skoda Rapid 1.6
168,Maruti Alto K10 VXI,2018,380000,22155,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto K10
169,Maruti Ciaz 1.4 Delta,2018,650000,70000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Ciaz 1.4
170,Maruti Alto LX,2009,150000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto LX
171,Hyundai i20 Asta,2009,280000,110000,Petrol,Individual,Manual,Second Owner,Hyundai,Hyundai i20 Asta
172,Tata Nexon 1.2 Revotron XM,2018,430000,30000,Petrol,Individual,Manual,First Owner,Tata,Tata Nexon 1.2
173,Mahindra Bolero Power Plus SLX,2019,800000,15000,Diesel,Individual,Manual,First Owner,Mahindra,Mahindra Bolero Power
174,Maruti Zen D,2003,75000,100000,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Zen D
175,Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,650000,70000,Diesel,Individual,Automatic,First Owner,Volkswagen,Volkswagen Vento Celeste
176,Maruti Eeco 7 Seater Standard BSIV,2017,390000,24000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Eeco 7
177,Honda City 1.5 EXI,2005,100000,120000,Petrol,Individual,Manual,Second Owner,Honda,Honda City 1.5
178,Mercedes-Benz New C-Class 220 CDI AT,2013,1500000,35000,Diesel,Individual,Automatic,First Owner,Mercedes-Benz,Mercedes-Benz New C-Class
179,Maruti SX4 Zxi with Leather BSIII,2007,175000,78380,Petrol,Individual,Manual,First Owner,Maruti,Maruti SX4 Zxi
180,Renault Duster 110PS Diesel RxZ,2012,434999,110000,Diesel,Individual,Manual,Second Owner,Renault,Renault Duster 110PS
181,Ford Figo Diesel Titanium,2010,170000,90000,Diesel,Individual,Manual,Third Owner,Ford,Ford Figo Diesel
182,Ford Figo Diesel Titanium,2011,190000,90000,Diesel,Individual,Manual,Third Owner,Ford,Ford Figo Diesel
183,Maruti Swift Dzire VDi,2009,250000,150000,Diesel,Individual,Manual,Third Owner,Maruti,Maruti Swift Dzire
185,Maruti Esteem Vxi - BSIII,2006,140000,70000,Petrol,Individual,Manual,Third Owner,Maruti,Maruti Esteem Vxi
186,Maruti Swift VDI BSIV,2017,600000,80362,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift VDI
187,Hyundai i20 1.2 Sportz,2012,280000,110000,Petrol,Individual,Manual,Third Owner,Hyundai,Hyundai i20 1.2
188,Chevrolet Beat Diesel LT,2012,150000,60000,Diesel,Individual,Manual,First Owner,Chevrolet,Chevrolet Beat Diesel
189,Chevrolet Cruze LTZ AT,2015,650000,50000,Diesel,Individual,Automatic,First Owner,Chevrolet,Chevrolet Cruze LTZ
190,Nissan Micra XL,2014,210000,40000,Petrol,Individual,Manual,Second Owner,Nissan,Nissan Micra XL
192,Chevrolet Enjoy 1.3 TCDi LS 8,2013,425000,20000,Diesel,Dealer,Manual,First Owner,Chevrolet,Chevrolet Enjoy 1.3
193,Hyundai EON Era Plus Option,2014,265000,55000,Petrol,Dealer,Manual,First Owner,Hyundai,Hyundai EON Era
194,Fiat Linea T Jet Emotion,2018,890000,1136,Petrol,Dealer,Manual,First Owner,Fiat,Fiat Linea T
195,Renault Scala RxL,2013,365000,55000,Petrol,Dealer,Manual,First Owner,Renault,Renault Scala RxL
196,Ford Figo Petrol Titanium,2014,350000,43000,Petrol,Dealer,Manual,First Owner,Ford,Ford Figo Petrol
197,Maruti Ciaz ZDi SHVS,2016,685000,60000,Diesel,Individual,Manual,First Owner,Maruti,Maruti Ciaz ZDi
198,Skoda Rapid 1.5 TDI Ambition BSIV,2018,940000,2650,Diesel,Dealer,Manual,First Owner,Skoda,Skoda Rapid 1.5
199,Mahindra XUV500 W6 2WD,2017,1000000,40000,Diesel,Individual,Manual,First Owner,Mahindra,Mahindra XUV500 W6
200,Mahindra XUV300 W8 Option,2019,1150000,15000,Petrol,Dealer,Manual,First Owner,Mahindra,Mahindra XUV300 W8
201,Maruti Ertiga SHVS ZDI,2016,450000,115962,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Ertiga SHVS
202,Nissan Terrano XE D,2015,590000,65000,Diesel,Dealer,Manual,First Owner,Nissan,Nissan Terrano XE
203,Maruti S-Cross Facelift,2017,800000,40000,Diesel,Individual,Manual,First Owner,Maruti,Maruti S-Cross Facelift
204,Hyundai i20 Magna 1.4 CRDi (Diesel),2012,385000,58000,Diesel,Dealer,Manual,First Owner,Hyundai,Hyundai i20 Magna
205,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013,2000000,15000,Diesel,Individual,Automatic,First Owner,Mercedes-Benz,Mercedes-Benz New C-Class
206,Hyundai EON Era Plus,2012,235000,54000,Petrol,Dealer,Manual,First Owner,Hyundai,Hyundai EON Era
207,Volkswagen Ameo 1.5 TDI Highline,2017,640000,56000,Diesel,Dealer,Manual,First Owner,Volkswagen,Volkswagen Ameo 1.5
208,Maruti Alto LX,2006,52000,120000,Petrol,Individual,Manual,Third Owner,Maruti,Maruti Alto LX
209,Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009,80000,90000,LPG,Individual,Manual,Second Owner,Maruti,Maruti Omni LPG
210,Maruti Alto LX,2012,140000,70000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto LX
211,Hyundai Verna i (Petrol),2008,120000,90000,Petrol,Individual,Manual,Second Owner,Hyundai,Hyundai Verna i
213,Chevrolet Optra Magnum 2.0 LS BSIII,2012,180000,120000,Diesel,Individual,Manual,First Owner,Chevrolet,Chevrolet Optra Magnum
214,Mahindra Scorpio S11 BSIV,2017,1500000,20000,Diesel,Individual,Manual,First Owner,Mahindra,Mahindra Scorpio S11
215,Hyundai i20 Active 1.2 SX,2017,700000,10000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai i20 Active
216,Maruti SX4 Celebration Diesel,2012,285000,80000,Diesel,Individual,Manual,Second Owner,Maruti,Maruti SX4 Celebration
217,Hyundai Grand i10 Magna,2015,390000,90000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Grand i10
218,Maruti Alto LXi BSIII,2008,125000,80000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto LXi
219,Maruti SX4 Zxi with Leather BSIII,2008,225000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti SX4 Zxi
220,Hyundai i10 Era,2011,175000,139000,Petrol,Individual,Manual,Second Owner,Hyundai,Hyundai i10 Era
221,Toyota Innova 2.5 V Diesel 7-seater,2011,1075000,160000,Diesel,Individual,Manual,Second Owner,Toyota,Toyota Innova 2.5
222,Honda Mobilio V i DTEC,2014,300000,150000,Diesel,Individual,Manual,First Owner,Honda,Honda Mobilio V
223,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner,Toyota,Toyota Innova 2.5
224,Tata Indica V2 2001-2011 DLS BSIII,2009,90000,120000,Diesel,Dealer,Manual,First Owner,Tata,Tata Indica V2
225,Tata Indica Vista TDI LS,2011,120000,120000,Diesel,Individual,Manual,Second Owner,Tata,Tata Indica Vista
226,Chevrolet Beat Diesel LS,2012,220000,100000,Diesel,Individual,Manual,Second Owner,Chevrolet,Chevrolet Beat Diesel
